Datetime,Filename,Working case,X,Y,Angle,Note
2023-02-19 19:37:06.466885,lmTst_0_0_-3_0,0,0,0,0,lmTst_0_0_-3_0.jpg recovered
2023-02-19 19:37:07.417337,lmTst_0_0_-6_0,0,0,5,0,lmTst_0_0_-6_0.jpg recovered
2023-02-19 19:37:08.251858,lmTst_0_0_-9_0,0,0,8,0,lmTst_0_0_-9_0.jpg recovered
2023-02-19 19:37:09.147343,lmTst_0_0_0_-1,0,0,0,1,lmTst_0_0_0_-1.jpg recovered
2023-02-19 19:37:09.830950,lmTst_0_0_0_-10,-1,0,0,0,"lmTst_0_0_0_-10.jpg not recovered, please check the camera/input"
2023-02-19 19:37:10.681461,lmTst_0_0_0_-2,0,0,0,2,lmTst_0_0_0_-2.jpg recovered
2023-02-19 19:37:11.616924,lmTst_0_0_0_-3,0,0,0,3,lmTst_0_0_0_-3.jpg recovered
2023-02-19 19:37:13.527825,lmTst_0_0_0_-4,0,0,0,4,lmTst_0_0_0_-4.jpg recovered
2023-02-19 19:37:14.536246,lmTst_0_0_0_-5,0,0,0,5,lmTst_0_0_0_-5.jpg recovered
2023-02-19 19:37:15.335787,lmTst_0_0_0_-6,-1,0,0,0,"lmTst_0_0_0_-6.jpg not recovered, please check the camera/input"
2023-02-19 19:37:16.222277,lmTst_0_0_0_-7,0,0,0,7,lmTst_0_0_0_-7.jpg recovered
2023-02-19 19:37:17.029814,lmTst_0_0_0_-8,0,0,0,8,lmTst_0_0_0_-8.jpg recovered
2023-02-19 19:37:17.709422,lmTst_0_0_0_-9,-1,0,0,0,"lmTst_0_0_0_-9.jpg not recovered, please check the camera/input"
2023-02-19 19:37:18.559936,lmTst_0_0_0_0,0,0,0,0,lmTst_0_0_0_0.jpg recovered
2023-02-19 19:37:19.401451,lmTst_0_0_0_1,0,0,0,-1,lmTst_0_0_0_1.jpg recovered
2023-02-19 19:37:20.306931,lmTst_0_0_0_2,0,0,0,-2,lmTst_0_0_0_2.jpg recovered
2023-02-19 19:37:21.155442,lmTst_0_0_0_3,0,0,0,-3,lmTst_0_0_0_3.jpg recovered
2023-02-19 19:37:21.939992,lmTst_0_0_0_4,0,0,0,-4,lmTst_0_0_0_4.jpg recovered
2023-02-19 19:37:22.790506,lmTst_0_0_12_0,0,0,-13,0,lmTst_0_0_12_0.jpg recovered
2023-02-19 19:37:24.313627,lmTst_0_0_3_0,0,0,-4,0,lmTst_0_0_3_0.jpg recovered
2023-02-19 19:37:26.936120,lmTst_0_0_6_0,0,0,-7,0,lmTst_0_0_6_0.jpg recovered
2023-02-19 19:37:28.086462,lmTst_0_0_9_0,0,0,-10,0,lmTst_0_0_9_0.jpg recovered
2023-02-19 19:37:29.073893,lmTst_0_12_-12_0,0,-12,11,0,lmTst_0_12_-12_0.jpg recovered
2023-02-19 19:37:30.145277,lmTst_0_12_-15_0,0,-12,14,0,lmTst_0_12_-15_0.jpg recovered
2023-02-19 19:37:31.100730,lmTst_0_12_-3_0,0,-12,0,0,lmTst_0_12_-3_0.jpg recovered
2023-02-19 19:37:31.950242,lmTst_0_12_-6_0,0,-12,5,0,lmTst_0_12_-6_0.jpg recovered
2023-02-19 19:37:33.042615,lmTst_0_12_-9_0,0,-12,8,0,lmTst_0_12_-9_0.jpg recovered
2023-02-19 19:37:33.893123,lmTst_0_12_0_0,0,-12,0,0,lmTst_0_12_0_0.jpg recovered
2023-02-19 19:37:34.784610,lmTst_0_12_12_0,0,-12,-13,0,lmTst_0_12_12_0.jpg recovered
2023-02-19 19:37:35.634124,lmTst_0_12_3_0,0,-12,-4,0,lmTst_0_12_3_0.jpg recovered
2023-02-19 19:37:36.548597,lmTst_0_12_6_0,0,-12,-7,0,lmTst_0_12_6_0.jpg recovered
2023-02-19 19:37:37.569010,lmTst_0_12_9_0,0,-12,-10,0,lmTst_0_12_9_0.jpg recovered
2023-02-19 19:37:38.467498,lmTst_0_3_-12_0,0,0,11,0,lmTst_0_3_-12_0.jpg recovered
2023-02-19 19:37:39.344991,lmTst_0_3_-15_0,0,0,14,0,lmTst_0_3_-15_0.jpg recovered
2023-02-19 19:37:40.890102,lmTst_0_3_-3_0,0,0,0,0,lmTst_0_3_-3_0.jpg recovered
2023-02-19 19:37:42.034443,lmTst_0_3_-6_0,0,0,5,0,lmTst_0_3_-6_0.jpg recovered
2023-02-19 19:37:43.103830,lmTst_0_3_-9_0,0,0,8,0,lmTst_0_3_-9_0.jpg recovered
2023-02-19 19:37:44.220188,lmTst_0_3_0_0,0,0,0,0,lmTst_0_3_0_0.jpg recovered
2023-02-19 19:37:45.186633,lmTst_0_3_12_0,0,0,-13,0,lmTst_0_3_12_0.jpg recovered
2023-02-19 19:37:46.142086,lmTst_0_3_3_0,0,0,-4,0,lmTst_0_3_3_0.jpg recovered
2023-02-19 19:37:47.017581,lmTst_0_3_6_0,0,0,-7,0,lmTst_0_3_6_0.jpg recovered
2023-02-19 19:37:47.943048,lmTst_0_3_9_0,0,0,-10,0,lmTst_0_3_9_0.jpg recovered
2023-02-19 19:37:48.794560,lmTst_0_6_-12_0,0,-6,11,0,lmTst_0_6_-12_0.jpg recovered
2023-02-19 19:37:49.653066,lmTst_0_6_-15_0,0,-6,14,0,lmTst_0_6_-15_0.jpg recovered
2023-02-19 19:37:50.481592,lmTst_0_6_-3_0,0,-5,0,0,lmTst_0_6_-3_0.jpg recovered
